SONG_ID,TITLE_IN_SALAMI,ARTIST,ALBUM,TITLE,TRACK_NUMBER
1600,07_-_Hello_Goodbye,The Beatles,Magical Mystery Tour,Hello Goodbye,7
1602,NowImHere,Queen,Greatest Hits I,Now I'm Here,11
1604,AnotherOneBitesTheDust,Queen,Greatest Hits I,Another One Bites The Dust,2
1606,WeAreTheChampions,Queen,Greatest Hits I,We Are The Champions,17
1608,Innuendo,Queen,Greatest Hits II,Innuendo,6
1610,ImGoingSlightly,Queen,Greatest Hits II,I'm Going Slightly Mad,12
1612,FriendsWillBeFriends,Queen,Greatest Hits II,Friends Will Be Friends,15
1614,beat_it,Michael Jackson,Essential Michael Jackson [Disc 1],Beat It,16
1616,Rock_with_you,Michael Jackson,Essential Michael Jackson [Disc 1],Rock With You (Single Version),11
1618,she_s_out_of_my_life,Michael Jackson,Essential Michael Jackson [Disc 1],She's Out Of My Life (Single Version),12
1620,Thriller,Michael Jackson,Essential Michael Jackson [Disc 1],Thriller (Single Version),21
1622,who_is_it,Michael Jackson,Essential Michael Jackson [Disc 2],Who Is It (7 Edit),11
1624,you_rock_my_world,Michael Jackson,Essential Michael Jackson [Disc 2],You Rock My World,17
1626,You_ve_Got_A_Friend,Carole King,Tapestry,You've Got A Friend,7
1628,Smackwater_Jack,Carole King,Tapestry,Smackwater Jack,10
1630,01_-_Magical_Mystery_Tour,The Beatles,Magical Mystery Tour,Magical Mystery Tour,1
1632,08_-_Within_You_Without_You,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Within You Without You,8
1634,06_-_Yellow_Submarine,The Beatles,Revolver,Yellow Submarine,6
1636,07_-_Michelle,The Beatles,Rubber Soul,Michelle,7
1638,09_-_It_s_Only_Love,The Beatles,Help!,It's Only Love,9
1640,09_-_Words_of_Love,The Beatles,Beatles for Sale,Words of Love,9
1642,02_-_I_Should_Have_Known_Better,The Beatles,A Hard Day's Night,I Should Have Known Better,2
1644,10_-_You_Really_Got_A_Hold_On_Me,The Beatles,With the Beatles,You Really Got A Hold On Me,10
1646,09_-_P__S__I_Love_You,The Beatles,Please Please Me,P. S. I Love You,9
1648,11_-_Mean_Mr__Mustard,The Beatles,Abbey Road,Mean Mr Mustard,11
1650,03_-_Across_The_Universe,The Beatles,Let It Be,Across the Universe,3
1652,CD1_-_07_-_While_My_Guitar_Gently_Weeps,The Beatles,CD1 - The Beatles,While My Guitar Gently Weeps,7
1654,CD2_-_10_-_Savoy_Truffle,The Beatles,CD2 - The Beatles,Savoy Truffle,10
1603,SaveMe,Queen,Greatest Hits I,Save Me,8
1607,RadioGaGa,Queen,Greatest Hits II,Radio Ga Ga,3
1611,HammerToFall,Queen,Greatest Hits II,Hammer To Fall,14
1615,j_just_can_t_stop_loving_you,Michael Jackson,Essential Michael Jackson [Disc 1],I Just Can't Stop Loving You,20
1619,The_girl_is_mine,Michael Jackson,Essential Michael Jackson [Disc 1],The Girl Is Mine,14
1623,man_in_the_mirror,Michael Jackson,Essential Michael Jackson [Disc 2],Man In The Mirror,3
1627,Out_In_The_Cold,Carole King,Tapestry,Out In The Cold,13
1631,12_-_Sgt__Pepper_s_Lonely_Hearts_Club_Band__Reprise_,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Reprise),12
1635,11_-_In_My_Life,The Beatles,Rubber Soul,In My Life,11
1639,02_-_Im_a_Loser,The Beatles,Beatles for Sale,I'm a Loser,2
1643,01_-_It_Won_t_Be_Long,The Beatles,With the Beatles,It Won't Be Long,1
1647,09_-_You_Never_Give_Me_Your_Money,The Beatles,Abbey Road,You Never Give Me Your Money,9
1651,05_-_Dig_It,The Beatles,Let It Be,Dig It,5
1655,CD2_-_03_-_Mother_Natures_Son,The Beatles,CD2 - The Beatles,Mother Nature's Son,3
1605,WeWillRockYou,Queen,Greatest Hits I,We Will Rock You,16
1613,ABC,Michael Jackson,Essential Michael Jackson [Disc 1],ABC,2
1621,black_or_white,Michael Jackson,Essential Michael Jackson [Disc 2],Black Or White (Single Version),8
1629,So_Far_Away,Carole King,Tapestry,So Far Away,2
1637,10_-_You_Like_Me_Too_Much,The Beatles,Help!,You Like Me Too Much,10
1645,03_-_Anna__Go_To_Him_,The Beatles,Please Please Me,Anna (Go To Him),3
1653,CD1_-_01_-_Back_in_the_USSR,The Beatles,CD1 - The Beatles,Back in the USSR,1
